Date,Open,High,Low,Close,Volume
1992-01-22,0.37239983149479494,0.4695475276901789,0.37239983149479494,0.43716496229171753,168022400
1992-01-23,0.45335588807409455,0.4911358748260723,0.43716493576963245,0.47494426369667053,38368000
1992-01-24,0.48034197092056274,0.5019303593029402,0.46415035022111517,0.48034197092056274,12044800
1992-01-27,0.501929936654733,0.5181208848953247,0.4803415664507611,0.5181208848953247,10716800
1992-01-28,0.5127245057789124,0.5235186989655709,0.4911361194055954,0.5073270797729492,19913600
1992-01-29,0.49113604213553996,0.507326999955583,0.46954765915870667,0.46954765915870667,13238400
1992-01-30,0.4749443041972625,0.4803417279756384,0.42097336053848267,0.42097336053848267,10848000
1992-01-31,0.43176771493551236,0.4479593336582184,0.42097352206212457,0.4479593336582184,2496000
1992-02-03,0.45335605667858586,0.45335605667858586,0.43716509835265727,0.4425618648529053,2320000
1992-02-04,0.4479592761818733,0.46954765915870667,0.4479592761818733,0.46954765915870667,2499200
1992-02-05,0.469547566558859,0.469547566558859,0.458753377199173,0.458753377199173,1148800
1992-02-06,0.46954749920349637,0.4749442636966705,0.4587533113922084,0.47494426369667053,5504000
1992-02-07,0.4641502935556758,0.4749444864290636,0.4479593336582184,0.4479593336582184,4560000
1992-02-10,0.4479592090871508,0.4641501644821344,0.42097340499542424,0.4263708293437958,14140800
1992-02-11,0.4263707717400141,0.4263707717400141,0.3885907828807831,0.3885907828807831,9868800
1992-02-12,0.39398810267448425,0.39398810267448425,0.3777964949088466,0.39398810267448425,3942400
1992-02-13,0.39398827934495917,0.39398827934495917,0.37239989852674493,0.38319408893585205,3241600
1992-02-14,0.3885908152574148,0.3885908152574148,0.3670024366320028,0.3697008192539215,13753600
1992-02-18,0.3777965656891101,0.3777965656891101,0.3292230715298237,0.34001725912094116,3046400
1992-02-19,0.3292230955072638,0.3616056400507699,0.3292230955072638,0.3508114516735077,4284800
1992-02-20,0.3885906804776708,0.41557647381213264,0.3777964949088466,0.39398810267448425,4784000
1992-02-21,0.3939883575812928,0.4101793169975281,0.3831941650287263,0.4101793169975281,1865600
1992-02-24,0.41017927130818843,0.44256184535883486,0.4047825050456585,0.415576696395874,3129600
1992-02-25,0.4263707670686147,0.4263707670686147,0.37779659032821655,0.37779659032821655,3129600
1992-02-26,0.3723998255931552,0.3885907786233085,0.3723998255931552,0.37779659032821655,1657600
1992-02-27,0.3885908547278565,0.3885908547278565,0.37239989852674493,0.38319408893585205,204800
1992-02-28,0.37779666431874936,0.3885908547278565,0.37239989852674493,0.38319408893585205,227200
1992-03-02,0.3885907815814382,0.3885907815814382,0.3454140280723895,0.3508114516735077,5177600
1992-03-03,0.35620822443718336,0.37239983677864075,0.3454140358178748,0.37239983677864075,531200
1992-03-04,0.3723998255931552,0.3885907786233085,0.35620821373803274,0.37779659032821655,464000
1992-03-05,0.37239997247615975,0.388590931892395,0.36700254678726196,0.36700254678726196,454400
1992-03-06,0.36160565890799207,0.3777966129057335,0.34541404608524207,0.3562082350254059,1744000
1992-03-09,0.35620821373803274,0.3831940138882471,0.34541402544294086,0.37779659032821655,1078400
1992-03-10,0.36700250481719576,0.4209734614079598,0.36700250481719576,0.4047825038433075,1542400
1992-03-11,0.4155766601631734,0.4155766601631734,0.38319408893585205,0.38319408893585205,1020800
1992-03-12,0.37509821922722064,0.37509821922722064,0.35620822443718336,0.37239983677864075,5561600
1992-03-13,0.3616057799235932,0.37239997247615975,0.3616057799235932,0.36700254678726196,1744000
1992-03-16,0.3777966598398831,0.3777966598398831,0.361605703830719,0.361605703830719,835200
1992-03-17,0.361605703830719,0.3777966598398831,0.361605703830719,0.361605703830719,396800
1992-03-18,0.37779673079038006,0.37779673079038006,0.35890672954455755,0.36430415511131287,630400
1992-03-19,0.393988313695443,0.415576696395874,0.37239993099501206,0.415576696395874,3443200
1992-03-20,0.41557674268642586,0.41557674268642586,0.3643041633554276,0.36700254678726196,2876800
1992-03-23,0.37779660167580054,0.37779660167580054,0.36160564815933216,0.37239983677864075,608000
1992-03-24,0.388590931892395,0.39938512444496155,0.35620835423469543,0.36700254678726196,2704000
1992-03-25,0.37239997247615975,0.37239997247615975,0.3508115873710267,0.36700254678726196,960000
1992-03-26,0.36700254678726196,0.36700254678726196,0.3508115873710267,0.36700254678726196,150400
1992-03-27,0.3508114208369903,0.3616056082654374,0.31303143542496714,0.32922306656837463,3897600
1992-03-30,0.32382565131786517,0.3508114516735077,0.32382565131786517,0.3508114516735077,3225600
1992-03-31,0.35081146996782825,0.3831940367883197,0.34001730161594595,0.3562082350254059,9430400
1992-04-01,0.34541410908892045,0.35620829999794923,0.3346199181798917,0.3373183012008667,3820800
1992-04-02,0.33461993833382925,0.3508115550851471,0.32382574677467346,0.32382574677467346,3200000
1992-04-03,0.31303143542496714,0.32922306656837463,0.31303143542496714,0.32922306656837463,6723200
1992-04-06,0.32922316421084014,0.3346199095249176,0.3184289735810041,0.3346199095249176,3872000
1992-04-07,0.3238257421897008,0.33461993359602415,0.28064897656440735,0.28064897656440735,2460800
1992-04-08,0.28064891150985605,0.2860463559627533,0.24286960034585237,0.2860463559627533,4124800
1992-04-09,0.296840637922287,0.30223738406541795,0.2752522533461857,0.296840637922287,1187200
1992-04-10,0.3022373605657507,0.3022373605657507,0.2806489776681971,0.2914431691169739,3033600
1992-04-13,0.2914431023597717,0.2914431023597717,0.26985472440719604,0.26985472440719604,483200
1992-04-14,0.2914431023597717,0.2914431023597717,0.26985472440719604,0.26985472440719604,534400
1992-04-15,0.2914431023597717,0.2914431023597717,0.26985472440719604,0.26985472440719604,1961600
1992-04-16,0.2914431220798837,0.2914431220798837,0.2374721735465719,0.2536638081073761,2217600
1992-04-20,0.2536637635660164,0.2536637635660164,0.22667794403704727,0.23747213184833527,3571200
1992-04-21,0.22667798118373614,0.24286961555480957,0.22397959849495358,0.24286961555480957,19568000
1992-04-22,0.23747213184833524,0.2590605074709112,0.23207538794344046,0.23747213184833527,3036800
1992-04-23,0.2590605529598966,0.2590605529598966,0.2374721735465719,0.2536638081073761,2550400
1992-04-24,0.2374721735465719,0.2536638081073761,0.2374721735465719,0.2536638081073761,790400
1992-04-27,0.2536638051349875,0.25906054992426986,0.23747217076391405,0.24286961555480957,4931200
1992-04-28,0.2644580590343219,0.2644580590343219,0.24286967462342962,0.2563622295856476,2198400
1992-04-29,0.26175889471645186,0.26445795642780345,0.2482663244009018,0.2482663244009018,1875200
1992-04-30,0.2482664023454373,0.2860464222684348,0.2482664023454373,0.28064897656440735,1107200
1992-05-01,0.2860463578724148,0.2914431023597717,0.26985472440719604,0.26985472440719604,1324800
1992-05-04,0.2914431304364753,0.2914431304364753,0.2698547504041438,0.2887447476387024,64000
1992-05-05,0.29144325639520374,0.3076348984181314,0.28064906171389986,0.30223745107650757,2246400
1992-05-06,0.30763486703757154,0.32922325419803716,0.30763486703757154,0.3130316138267517,4201600
1992-05-07,0.3238258074069845,0.3238258074069845,0.2968406734573387,0.3130316138267517,643200
1992-05-08,0.31303155201452754,0.31303155201452754,0.2752522319446758,0.2914431691169739,2067200
1992-05-11,0.296840637922287,0.296840637922287,0.296840637922287,0.296840637922287,44800
1992-05-12,0.28604644508445826,0.28604644508445826,0.25906061441530376,0.27525225281715393,896000
1992-05-13,0.2806488126516342,0.2806488126516342,0.25906044244766235,0.25906044244766235,256000
1992-05-14,0.2590605074709112,0.2617588897174983,0.23747213184833524,0.23747213184833527,1110400
1992-05-15,0.22667794836604077,0.2482663244009018,0.22667794836604077,0.2482663244009018,931200
1992-05-18,0.24826636034409197,0.25906054992426986,0.24017055345269664,0.24286961555480957,3686400
1992-05-19,0.2536638051349875,0.2536638051349875,0.24286961555480957,0.24286961555480957,972800
1992-05-20,0.25366369989733073,0.26175882401696526,0.2428695147953448,0.25906044244766235,2460800
1992-05-21,0.2644580394557881,0.2860464222684348,0.25906059375176066,0.28064897656440735,1446400
1992-05-22,0.26985478515808403,0.2860464222684348,0.2644580394557881,0.28064897656440735,278400
1992-05-26,0.25906049735957126,0.26445794105529785,0.24826630996958912,0.26445794105529785,646400
1992-05-27,0.24826625734567642,0.26445788499931666,0.24826625734567642,0.25906044244766235,457600
1992-05-28,0.24826625734567642,0.26445788499931666,0.24826625734567642,0.25906044244766235,1276800
1992-05-29,0.26445794105529785,0.26445794105529785,0.24826630996958912,0.26445794105529785,560000
1992-06-01,0.2482663244009018,0.2482663244009018,0.2482663244009018,0.2482663244009018,3200
1992-06-02,0.24826625734567642,0.26175882401696526,0.24826625734567642,0.25906044244766235,2166400
1992-06-03,0.24826630996958912,0.26445794105529785,0.24826630996958912,0.26445794105529785,76800
1992-06-04,0.26445794105529785,0.26445794105529785,0.26445794105529785,0.26445794105529785,3200
1992-06-05,0.25906044244766235,0.25906044244766235,0.25906044244766235,0.25906044244766235,3200
1992-06-08,0.24826625734567642,0.25906044244766235,0.24826625734567642,0.25906044244766235,2156800
1992-06-09,0.26445795642780345,0.26445795642780345,0.2482663244009018,0.2482663244009018,76800
1992-06-10,0.25906051241833233,0.25906051241833233,0.2482663244009018,0.2482663244009018,118400
1992-06-11,0.24826636325323428,0.2536638081073761,0.2374721735465719,0.2536638081073761,316800
1992-06-12,0.25366373491510785,0.25366373491510785,0.21588373184204102,0.21588373184204102,6361600
1992-06-15,0.21588383042312292,0.2374722134654352,0.21588383042312292,0.23207546770572662,2012800
1992-06-16,0.23207549677875122,0.2374722432145318,0.2212813039053634,0.2239796668291092,604800
1992-06-17,0.23207549788009554,0.23207549788009554,0.22128130495548248,0.22128130495548248,1196800
1992-06-18,0.23207546770572662,0.23207546770572662,0.22128127618457047,0.23207546770572662,1094400
1992-06-19,0.23207546770572662,0.23207546770572662,0.22128127618457047,0.23207546770572662,256000
1992-06-22,0.2212811751388017,0.2212811751388017,0.20508954524993897,0.21588373184204102,2060800
1992-06-23,0.22128130495548248,0.22128130495548248,0.20508966556764793,0.22128130495548248,115200
1992-06-24,0.20508954524993897,0.2212811751388017,0.20508954524993897,0.21588373184204102,672000
1992-06-25,0.21588383042312292,0.23207546770572662,0.21588383042312292,0.23207546770572662,1609600
1992-06-26,0.23207538794344046,0.23747213184833524,0.2212812001321525,0.23747213184833527,396800
1992-06-29,0.23747224434148706,0.23747224434148706,0.22128130495548248,0.22128130495548248,412800
1992-06-30,0.23747212257960698,0.2698546847495534,0.22128119149536932,0.26445794105529785,1926400
1992-07-01,0.26445788499931666,0.3022371828556061,0.24826625734567642,0.25906044244766235,2486400
1992-07-02,0.2698546275496483,0.2698546275496483,0.24826625734567642,0.25906044244766235,774400
1992-07-06,0.2536638081073761,0.2536638081073761,0.25096474597363605,0.2536638081073761,3392000
1992-07-07,0.25636215289308895,0.2806489133834839,0.25366379094355124,0.26985472440719604,2416000
1992-07-08,0.26445794105529785,0.26445794105529785,0.26445794105529785,0.26445794105529785,182400
1992-07-09,0.28064897656440735,0.28064897656440735,0.26985478515808403,0.28064897656440735,156800
1992-07-10,0.2752522308621114,0.28064897656440735,0.2752522308621114,0.28064897656440735,1980800
1992-07-13,0.2806489133834839,0.2806489133834839,0.26985472440719604,0.26985472440719604,112000
1992-07-14,0.2806489133834839,0.2806489133834839,0.26985472440719604,0.26985472440719604,51200
1992-07-15,0.2806489989499124,0.2806489989499124,0.2698548066826081,0.27525225281715393,64000
1992-07-16,0.2806489133834839,0.2806489133834839,0.26985472440719604,0.26985472440719604,102400
1992-07-17,0.26985478515808403,0.28064897656440735,0.26985478515808403,0.28064897656440735,83200
1992-07-20,0.26985478515808403,0.28064897656440735,0.26985478515808403,0.28064897656440735,556800
1992-07-21,0.28064897656440735,0.28064897656440735,0.26985478515808403,0.28064897656440735,57600
1992-07-22,0.2698548066826081,0.27525225281715393,0.2698548066826081,0.27525225281715393,166400
1992-07-23,0.26445794105529785,0.26445794105529785,0.26445794105529785,0.26445794105529785,12800
1992-07-24,0.2644579799198391,0.2806489133834839,0.2644579799198391,0.26985472440719604,188800
1992-07-27,0.2806488126516342,0.2806488126516342,0.25906044244766235,0.25906044244766235,22400
1992-07-28,0.25906044244766235,0.26175882401696526,0.25906044244766235,0.25906044244766235,643200
1992-07-29,0.2806488126516342,0.2806488126516342,0.25906044244766235,0.25906044244766235,38400
1992-07-30,0.25906044244766235,0.2806488126516342,0.25906044244766235,0.25906044244766235,3142400
1992-07-31,0.25906044244766235,0.2698546275496483,0.25906044244766235,0.25906044244766235,134400
1992-08-03,0.28064896639878006,0.28064896639878006,0.25906058436810464,0.2671563923358917,620800
1992-08-04,0.2671562459803454,0.2752520701013026,0.25906044244766235,0.25906044244766235,2240000
1992-08-05,0.26445795642780345,0.2698547004357628,0.23747213638347128,0.2482663244009018,2313600
1992-08-06,0.24286967570179074,0.2455680384705435,0.23207548344841752,0.24017061293125153,4748800
1992-08-07,0.24286967570179074,0.24286967570179074,0.2374722295742109,0.24017061293125153,1497600
1992-08-10,0.24286969080470858,0.24286969080470858,0.22128130495548248,0.22128130495548248,2764800
1992-08-11,0.23207549788009554,0.23207549788009554,0.22128130495548248,0.22128130495548248,9344000
1992-08-12,0.23747224434148706,0.23747224434148706,0.22128130495548248,0.22128130495548248,2896000
1992-08-13,0.23207546770572662,0.23207546770572662,0.22128127618457047,0.23207546770572662,860800
1992-08-14,0.23207546770572662,0.23207546770572662,0.22128127618457047,0.23207546770572662,163200
1992-08-17,0.23207546770572662,0.23207546770572662,0.22128127618457047,0.23207546770572662,300800
1992-08-18,0.22128127618457047,0.23207546770572662,0.22128127618457047,0.23207546770572662,2224000
1992-08-19,0.22128130495548248,0.23207549788009554,0.22128130495548248,0.22128130495548248,348800
1992-08-20,0.23207549677875122,0.23207549677875122,0.2212813039053634,0.2239796668291092,3353600
1992-08-21,0.23207547462510955,0.23207547462510955,0.2212812827821221,0.2266780287027359,2649600
1992-08-24,0.23207546770572662,0.23207546770572662,0.22128127618457047,0.23207546770572662,16000
1992-08-25,0.23207549788009554,0.23207549788009554,0.22128130495548248,0.22128130495548248,1254400
1992-08-26,0.23207536173090373,0.23207536173090373,0.21048698854669964,0.21588373184204102,1417600
1992-08-27,0.21048698854669964,0.22667791843414306,0.21048698854669964,0.21588373184204102,1619200
1992-08-28,0.22667791843414306,0.22667791843414306,0.21048698854669964,0.21588373184204102,4230400
1992-08-31,0.21048698854669964,0.2212811751388017,0.21048698854669964,0.21588373184204102,3750400
1992-09-01,0.2212812302486233,0.2212812302486233,0.2158837856076356,0.2185821682214737,3494400
1992-09-02,0.2212812827821221,0.2266780287027359,0.21858222011419892,0.2266780287027359,4768000
1992-09-03,0.2266780287027359,0.2266780287027359,0.2158838368597485,0.2266780287027359,51200
1992-09-04,0.22128130495548248,0.22667805141687403,0.21588385849226097,0.22128130495548248,1491200
1992-09-08,0.226678050341144,0.226678050341144,0.21588385746775618,0.2239796668291092,608000
1992-09-09,0.226678050341144,0.226678050341144,0.21588385746775618,0.2239796668291092,1852800
1992-09-10,0.226678050341144,0.226678050341144,0.21588385746775618,0.2239796668291092,3068800
1992-09-11,0.2212812827821221,0.2266780287027359,0.2158838368597485,0.2266780287027359,294400
1992-09-14,0.2266780287027359,0.2266780287027359,0.2158838368597485,0.2266780287027359,160000
1992-09-15,0.2158838368597485,0.2266780287027359,0.2158838368597485,0.2266780287027359,105600
1992-09-16,0.21588380271197347,0.22937637567520142,0.21588380271197347,0.22937637567520142,5753600
1992-09-17,0.23747213184833524,0.23747213184833524,0.2212812001321525,0.23747213184833527,121600
1992-09-18,0.2212812827821221,0.2266780287027359,0.2212812827821221,0.2266780287027359,48000
1992-09-21,0.23747222054572334,0.23747222054572334,0.2266780287027359,0.2266780287027359,940800
1992-09-22,0.23747222054572334,0.23747222054572334,0.2266780287027359,0.2266780287027359,1686400
1992-09-23,0.2374722134654352,0.2374722134654352,0.23207546770572662,0.23207546770572662,457600
1992-09-24,0.22667794403704727,0.24286957575472842,0.22667794403704727,0.23747213184833527,227200
1992-09-25,0.24286961555480957,0.24286961555480957,0.23207542597463166,0.24286961555480957,1334400
1992-09-28,0.24286961555480957,0.24286961555480957,0.23207542597463166,0.24286961555480957,332800
1992-09-29,0.24286965922688278,0.24286965922688278,0.23207546770572662,0.23207546770572662,19200
1992-09-30,0.24286961555480957,0.24286961555480957,0.23207542597463166,0.24286961555480957,841600
1992-10-01,0.23207538794344046,0.24286957575472842,0.23207538794344046,0.23747213184833527,937600
1992-10-02,0.24286957575472842,0.24286957575472842,0.23207538794344046,0.23747213184833527,825600
1992-10-05,0.22667794403704727,0.24286957575472842,0.22667794403704727,0.23747213184833527,153600
1992-10-06,0.24286966646809696,0.24286966646809696,0.2266780287027359,0.2266780287027359,28800
1992-10-07,0.24286961555480957,0.24286961555480957,0.22667798118373614,0.24286961555480957,9472000
1992-10-08,0.22667798118373614,0.24286961555480957,0.22667798118373614,0.24286961555480957,6633600
1992-10-09,0.23207542597463166,0.24826636034409197,0.23207542597463166,0.24286961555480957,1011200
1992-10-12,0.24286961555480957,0.24826636034409197,0.24286961555480957,0.24286961555480957,160000
1992-10-13,0.24286958039294243,0.2536637684103729,0.24286958039294243,0.2482663244009018,6048000
1992-10-14,0.24286961555480957,0.24286961555480957,0.24286961555480957,0.24286961555480957,19200
1992-10-15,0.25906054992426986,0.25906054992426986,0.24286961555480957,0.24286961555480957,115200
1992-10-16,0.24286961555480957,0.25906054992426986,0.24286961555480957,0.24286961555480957,406400
1992-10-19,0.25906044244766235,0.25906044244766235,0.2428695147953448,0.25906044244766235,4793600
1992-10-20,0.24826636325323428,0.2590605529598966,0.24826636325323428,0.2536638081073761,1056000
1992-10-21,0.2644579253197966,0.2644579253197966,0.253663738572079,0.26175886392593384,1830400
1992-10-22,0.25906053543090823,0.26985472440719604,0.25906053543090823,0.26985472440719604,688000
1992-10-23,0.2644579799198391,0.26985472440719604,0.25906053543090823,0.26985472440719604,1190400
1992-10-26,0.2671563676063709,0.29414151323424814,0.2671563676063709,0.2887447476387024,627200
1992-10-27,0.2968406074927823,0.3130315442642106,0.2914431619011616,0.2995389699935913,1724800
1992-10-28,0.30223745107650757,0.30223745107650757,0.29144325639520374,0.30223745107650757,486400
1992-10-29,0.30223745107650757,0.3076348984181314,0.2968407037368276,0.30223745107650757,579200
1992-10-30,0.30763483021033766,0.30763483021033766,0.296840637922287,0.296840637922287,486400
1992-11-02,0.3130315763534686,0.3130315763534686,0.296840637922287,0.296840637922287,105600
1992-11-03,0.2968405519076375,0.30763474106788635,0.2968405519076375,0.30763474106788635,22400
1992-11-04,0.30763483021033766,0.30763483021033766,0.296840637922287,0.296840637922287,150400
1992-11-05,0.29684054486697853,0.30763473377120376,0.28334729402966075,0.2860463559627533,822400
1992-11-06,0.29684061367475817,0.29684061367475817,0.2752522308621114,0.28064897656440735,944000
1992-11-09,0.296840637922287,0.296840637922287,0.2806489994893167,0.296840637922287,1222400
1992-11-10,0.28064906171389986,0.30223745107650757,0.28064906171389986,0.30223745107650757,2892800
1992-11-11,0.30223729648696895,0.31842893022813523,0.2968405519076375,0.30763474106788635,3548800
1992-11-12,0.313031518279201,0.3238257085646907,0.30763477313728554,0.31842896342277527,1113600
1992-11-13,0.31842906061780435,0.31842906061780435,0.30763486703757154,0.3130316138267517,1619200
1992-11-16,0.31842906061780435,0.31842906061780435,0.3130316138267517,0.3130316138267517,2252800
1992-11-17,0.31842906061780435,0.3238258074069845,0.2968406734573387,0.3130316138267517,1212800
1992-11-18,0.3049357674311274,0.3130315763534686,0.2914431917773673,0.296840637922287,54400
1992-11-19,0.2995390006997085,0.3130315763534686,0.296840637922287,0.296840637922287,1558400
1992-11-20,0.31303155201452754,0.31303155201452754,0.2914431691169739,0.2914431691169739,1072000
1992-11-23,0.30763480629100626,0.30763480629100626,0.2914431691169739,0.2914431691169739,1238400
1992-11-24,0.3022373593770541,0.3022373593770541,0.28064897656440735,0.28064897656440735,1033600
1992-11-25,0.2968407037368276,0.3076348984181314,0.28604650905552376,0.30223745107650757,931200
1992-11-27,0.3076348984181314,0.3076348984181314,0.29144325639520374,0.30223745107650757,220800
1992-11-30,0.3022372525512881,0.34001725912094116,0.3022372525512881,0.34001725912094116,4704000
1992-12-01,0.34001725912094116,0.34001725912094116,0.3292230715298237,0.34001725912094116,598400
1992-12-02,0.34001738411427784,0.34001738411427784,0.3211273635911766,0.32382574677467346,380800
1992-12-03,0.32922316421084014,0.34541410015475366,0.3184289735810041,0.3346199095249176,2499200
1992-12-04,0.3508115248822275,0.3508115248822275,0.3346199095249176,0.3346199095249176,2179200
1992-12-07,0.3454140029157578,0.3454140029157578,0.3292230715298237,0.34001725912094116,336000
1992-12-08,0.34001728388452596,0.35620821644965167,0.31842890713000166,0.3508114516735077,3392000
1992-12-09,0.35620819050687524,0.35620819050687524,0.33461981532464036,0.34001725912094116,1113600
